block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
275,BT BATOK EAST AVE 4,2020-01,BUKIT BATOK,3 ROOM,01 TO 03,64.0,Simplified,1987,66 years 11 months,250000.0,275 BUKIT BATOK EAST AVENUE 4,"1.3481162, 103.75834969399295",2.4539576
272,BT BATOK EAST AVE 4,2020-01,BUKIT BATOK,3 ROOM,01 TO 03,64.0,Simplified,1986,65 years 08 months,235000.0,272 BUKIT BATOK EAST AVENUE 4,"1.3484624, 103.758019",2.4186597
235,BT BATOK EAST AVE 5,2020-01,BUKIT BATOK,3 ROOM,04 TO 06,67.0,New Generation,1985,64 years 05 months,250000.0,235 BUKIT BATOK EAST AVENUE 5,"1.3486848, 103.7561521",2.2138662
239,BT BATOK EAST AVE 5,2020-01,BUKIT BATOK,3 ROOM,01 TO 03,67.0,New Generation,1985,64 years 02 months,240000.0,239 BUKIT BATOK EAST AVENUE 5,"1.3500192, 103.75552859250378",2.1508768
152,BT BATOK ST 11,2020-01,BUKIT BATOK,3 ROOM,04 TO 06,67.0,New Generation,1998,77 years,240000.0,152 BUKIT BATOK STREET 11,"1.3483439000000002, 103.74426291587886",0.9230193
212,BT BATOK ST 21,2020-01,BUKIT BATOK,3 ROOM,07 TO 09,67.0,New Generation,1985,64 years 07 months,288000.0,212 BUKIT BATOK STREET 21,"1.34696405, 103.75192582566098",1.7424651
333,BT BATOK ST 32,2020-01,BUKIT BATOK,3 ROOM,04 TO 06,64.0,Simplified,1987,67 years,270000.0,333 BUKIT BATOK STREET 32,"1.36416545, 103.74781485332602",1.4595567
318,BT BATOK ST 32,2020-01,BUKIT BATOK,3 ROOM,01 TO 03,68.0,New Generation,1986,65 years 03 months,260000.0,318 BUKIT BATOK STREET 32,"1.3609537999999999, 103.74707776977469",1.3465055
324,BT BATOK ST 33,2020-01,BUKIT BATOK,3 ROOM,10 TO 12,64.0,Simplified,1988,67 years 04 months,235000.0,324 BUKIT BATOK STREET 33,"1.36217615, 103.74765196807951",1.4180237
528,BT BATOK ST 51,2020-01,BUKIT BATOK,3 ROOM,01 TO 03,60.0,Improved,1987,66 years 06 months,245000.0,528 BUKIT BATOK STREET 51,"1.3566561, 103.75133499526231",1.7383246
