block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
550,BEDOK NTH AVE 1,2020-01,BEDOK,3 ROOM,10 TO 12,68.0,New Generation,1980,59 years 05 months,285000.0,550 BEDOK NORTH AVENUE 1,"1.3322337000000002, 103.92632329441884",1.6319466
424,BEDOK NTH AVE 1,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1979,58 years,293000.0,424 BEDOK NORTH AVENUE 1,"1.32838355, 103.9275229615746",1.5784065
521,BEDOK NTH AVE 1,2020-01,BEDOK,3 ROOM,04 TO 06,67.0,New Generation,1979,58 years 06 months,260000.0,521 BEDOK NORTH AVENUE 1,"1.33023815, 103.92708013204543",1.5897604
418,BEDOK NTH AVE 2,2020-01,BEDOK,3 ROOM,04 TO 06,67.0,New Generation,1978,57 years 10 months,295000.0,418 BEDOK NORTH AVENUE 2,"1.3287195, 103.93000766161026",1.3606291
418,BEDOK NTH AVE 2,2020-01,BEDOK,3 ROOM,07 TO 09,82.0,New Generation,1978,57 years 10 months,310000.0,418 BEDOK NORTH AVENUE 2,"1.3287195, 103.93000766161026",1.3606291
102,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1977,56 years 06 months,265000.0,102 BEDOK NORTH AVENUE 4,"1.3338812500000001, 103.93746031397716",0.81163883
105,BEDOK NTH AVE 4,2020-01,BEDOK,3 ROOM,13 TO 15,82.0,New Generation,1977,56 years 06 months,332000.0,105 BEDOK NORTH AVENUE 4,"1.3337089, 103.93656069946745",0.84163165
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years 01 month,235000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",1.0365138
77,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,60.0,Improved,1986,65 years 03 months,250000.0,77 BEDOK NORTH ROAD,"1.328667, 103.94196030658946",0.99486697
125,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,67.0,New Generation,1978,57 years 04 months,275000.0,125 BEDOK NORTH ROAD,"1.3288278, 103.93905302272728",0.931005
75,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,10 TO 12,59.0,Improved,1978,57 years,268000.0,75 BEDOK NORTH ROAD,"1.3278894, 103.94211844583151",1.0204928
426,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years,262000.0,426 BEDOK NORTH ROAD,"1.32977185, 103.92899194195202",1.4268157
74,BEDOK NTH RD,2020-01,BEDOK,3 ROOM,07 TO 09,59.0,Improved,1978,57 years,237000.0,74 BEDOK NORTH ROAD,"1.3275114000000001, 103.9422840670866",1.0365138
502,BEDOK NTH ST 3,2020-01,BEDOK,3 ROOM,01 TO 03,59.0,Improved,1978,57 years 04 months,226000.0,502 BEDOK NORTH STREET 3,"1.33119695, 103.93120255038214",1.2192315
