block,street_name,month,town,flat_type,storey_range,floor_area_sqm,flat_model,lease_commence_date,remaining_lease,resale_price,address,lat_long,distance
536,ANG MO KIO AVE 10,2020-01,ANG MO KIO,3 ROOM,10 TO 12,68.0,New Generation,1980,59 years 01 month,280000.0,536 ANG MO KIO AVENUE 10,"1.37448265, 103.85408712607315",0.4261813
466,ANG MO KIO AVE 10,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1984,63 years 08 months,268000.0,466 ANG MO KIO AVENUE 10,"1.36584095, 103.85703129999999",0.677778
587,ANG MO KIO AVE 3,2020-01,ANG MO KIO,3 ROOM,01 TO 03,67.0,New Generation,1979,58 years 05 months,265000.0,587 ANG MO KIO AVENUE 3,"1.3701783, 103.85246795073925",0.21308707
178,ANG MO KIO AVE 4,2020-01,ANG MO KIO,3 ROOM,04 TO 06,82.0,New Generation,1981,60 years 04 months,302500.0,178 ANG MO KIO AVENUE 4,"1.3763809, 103.83682141001981",1.5967135
155,ANG MO KIO AVE 4,2020-01,ANG MO KIO,3 ROOM,04 TO 06,82.0,New Generation,1981,60 years 04 months,362000.0,155 ANG MO KIO AVENUE 4,"1.37586315, 103.84009975237961",1.2370044
154,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,68.0,New Generation,1981,60 years 01 month,278000.0,154 ANG MO KIO AVENUE 5,"1.3762767, 103.84123954963235",1.116721
601,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 06 months,280000.0,601 ANG MO KIO AVENUE 5,"1.3810333, 103.8351336785349",1.8060172
535,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 01 month,246100.0,535 ANG MO KIO AVENUE 5,"1.37458685, 103.85304205",0.3392259
535,ANG MO KIO AVE 5,2020-01,ANG MO KIO,3 ROOM,07 TO 09,67.0,New Generation,1980,59 years 01 month,318000.0,535 ANG MO KIO AVENUE 5,"1.37458685, 103.85304205",0.3392259
728,ANG MO KIO AVE 6,2020-01,ANG MO KIO,3 ROOM,01 TO 03,82.0,New Generation,1980,59 years 09 months,305000.0,728 ANG MO KIO AVENUE 6,"1.3726394499999999, 103.84568315",0.6154516
536,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,07 TO 09,93.0,New Generation,1980,59 years 02 months,383000.0,536 ANG MO KIO AVENUE 10,"1.37448265, 103.85408712607315",0.4261813
473,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,10 TO 12,91.0,New Generation,1984,63 years 07 months,345000.0,473 ANG MO KIO AVENUE 10,"1.36306195, 103.85683672723425",0.6588808
466,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,01 TO 03,93.0,New Generation,1984,63 years 08 months,328000.0,466 ANG MO KIO AVENUE 10,"1.36584095, 103.85703129999999",0.677778
419,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,04 TO 06,99.0,New Generation,1979,58 years 07 months,360000.0,419 ANG MO KIO AVENUE 10,"1.36529435, 103.85415376916289",0.35769704
412,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,01 TO 03,92.0,New Generation,1979,58 years 07 months,370000.0,412 ANG MO KIO AVENUE 10,"1.3638542, 103.85528989596983",0.4856901
419,ANG MO KIO AVE 10,2020-01,ANG MO KIO,4 ROOM,10 TO 12,99.0,New Generation,1979,58 years 07 months,452000.0,419 ANG MO KIO AVENUE 10,"1.36529435, 103.85415376916289",0.35769704
427,ANG MO KIO AVE 3,2020-01,ANG MO KIO,4 ROOM,04 TO 06,92.0,New Generation,1978,57 years 09 months,390000.0,427 ANG MO KIO AVENUE 3,"1.3692957, 103.85457673982793",0.41804096
